rank,project,complexity,code,complexity_per_loc
17,502.gcc_r,1039626,11922631,0.08719769990365382
12,526.blender_r,658735,5252491,0.12541382745824792
21,521.wrf_r,127401,2709025,0.04702835891141647
19,500.perlbench_r,110137,1763783,0.06244362259983229
18,510.parest_r,98745,1289058,0.07660244923036823
3,538.imagick_r,84455,359884,0.23467283902590835
13,527.cam4_r,74089,670315,0.11052863206104592
15,507.cactuBSSN_r,50698,514029,0.09862867659217671
6,511.povray_r,40712,249086,0.16344555695623197
28,523.xalancbmk_r,31755,2377417,0.013356933175795411
9,628.pop2_s,27011,200423,0.13476996153136117
23,554.roms_r,17794,490846,0.03625169605130733
5,525.x264_r,14501,78420,0.18491456261157868
11,520.omnetpp_r,11077,86959,0.12738186961671594
4,544.nab_r,6909,34090,0.2026694045174538
8,557.xz_r,3595,25719,0.13977992923519578
26,549.fotonik3d_r,3360,164736,0.020396270396270396
14,508.namd_r,2852,27206,0.10482981695214291
16,541.leela_r,2824,30860,0.0915100453661698
2,531.deepsjeng_r,2618,8472,0.3090179414542021
24,600.perlbench_s,1032,35038,0.02945373594383241
1,548.exchange2_r,567,1825,0.31068493150684934
41,505.mcf_r,471,614615,0.0007663333957030011
20,519.lbm_r,390,6788,0.05745433117265763
25,654.roms_s,334,15783,0.02116200975733384
22,503.bwaves_r,256,5928,0.043184885290148446
7,997.specrand_fr,80,550,0.14545454545454545
10,999.specrand_ir,80,614,0.13029315960912052
27,644.nab_s,13,956,0.013598326359832637
36,625.x264_s,12,5319,0.0022560631697687537
38,638.imagick_s,10,5898,0.00169548999660902
39,657.xz_s,7,4192,0.0016698473282442748
40,623.xalancbmk_s,3,2303,0.0013026487190620929
30,603.bwaves_s,2,262,0.007633587786259542
35,605.mcf_s,2,832,0.002403846153846154
34,620.omnetpp_s,2,683,0.0029282576866764276
43,627.cam4_s,2,4385,0.00045610034207525655
37,631.deepsjeng_s,2,1162,0.0017211703958691911
33,641.leela_s,2,363,0.005509641873278237
29,648.exchange2_s,2,172,0.011627906976744186
31,996.specrand_fs,2,300,0.006666666666666667
32,998.specrand_is,2,300,0.006666666666666667
45,602.gcc_s,1,24708,4.047272138578598e-05
42,607.cactuBSSN_s,1,1764,0.0005668934240362812
44,621.wrf_s,1,8768,0.00011405109489051095
46,619.lbm_s,0,3521,0.0
47,649.fotonik3d_s,0,620,0.0
